Unnamed: 0,所在展柜,产品品类,产品照片,多规格型号说明,产品序号,中文名称,英文名称,产品介绍（/优势特点）,注册证名称,注册证号,生效时间,所属公司,备注
,,,,,30.0,导引导管,VAS PASS® Guiding Catheter,用于以介入治疗方式进入血管系统，为介入治疗建立通道。,导引导管,国械注准20243030311,2024.2.21,瑛泰,
,,,,,31.0,亲水涂层导引导管,Hydrophilic  Guiding Catheter,用于以介入治疗方式进入血管系统，为介入治疗建立通道。,亲水涂层导引导管,国械注准20243030310,2024.2.21,瑛泰,
,,,,/,32.0,PTFE导丝,PTFE Guide Wire,用于血管造影，目的是建立了一个从穿刺部位到病变部位或通过病变部位到达远端的通道，辅助其他器械进行定位操作。,一次性使用造影导丝,国械注准20163032107,2021.5.17,瑛泰,
,,,,,,硬导丝,Guide Wire,本产品适用于血管介入诊断和治疗手术，神经血管应用除外。,硬导丝,国械注准20223030741,2022.6.13,瑛泰,
,,,,,33.0,PTCA球囊扩张导管,PTCA Balloon Catheter,用于冠状动脉血管狭窄或血管内支架内扩张治疗。,PTCA球囊扩张导管,国械注准20193030239,2024.4.29,瑛泰,
,,,,,,非顺应性球囊扩张导管,Beyonder NC Balloon Catheter,用于冠状动脉狭窄部分和支架的后扩张治疗，从而改善心肌供血能力。,非顺应性球囊扩张导管,国械注准20213030458,2021.6.21,瑛泰,
,,,,,34.0,指引导丝,Guidewire 0.014’,适用于在经皮冠状动脉成形术（PTCA）和经皮血管成形术（PTA）中，引导球囊导管或支架系统送达病变部位。,一次性使用指引导丝,沪械注准20242030327,2024.9.19,瑛泰,
,,,,,,导引导丝,Guide Wire,该产品用于在经皮冠状动脉成形术（PTCA）和经皮血管成形术（PTA）中，引导球囊导管或支架系统送达病变部位。,导引导丝,国械注准20233031216,2023.10.7,瑛泰,
,,,,,,亲水涂层导引导丝,Fingthrough Cardiovascular Guide Wire,该产品用于介入手术中，引导球囊导管或支架系统送达病变部位。,亲水涂层导引导丝,国械注准20233031690,2023.11.16,瑛泰,
,,,,,35.0,多环测量灌注导管,Waterfull™ Infusion Catheter,本产品用于介入手术中，将诊断介质（造影剂）或治疗溶剂（溶栓溶液）递送至血管内，神经血管应用除外。,多环测量灌注导管,国械注准20213030436,2021.6.15,瑛泰,
,,,,,36.0,冠脉微导管,RAD PASS Micro Catheter,"一次性使用微导管用于注射或输入对照介质和/或液体(如造影剂)和/或栓塞材料，和/或适当的器械(如支架、弹簧圈),神经血管应用除外。",一次性使用微导管,国械注准20193030352,2024.5.31,瑛泰,
,,,,,37.0,超滑导丝,Hydrophilic Guide Wire,用于引导导管插入血管并辅助其他器械进行定位操作，神经血管应用除外；长度为45cm的导丝用于Seldinger术，用于建立有助于血管内器械的经皮进入通路，不具有血管内定位或建立血管内通路作用。,一次性使用亲水涂层导丝,国械注准20173033094,2022.2.24,瑛泰,
,,,,,,一次性使用亲水涂层导丝,Pioneer™ Hydrophilic Guidewire,用于引导导管插入血管并辅助其他器械进行定位操作，神经血管应用除外；长度为45cm的导丝用于Seldinger术，用于建立有助于血管内器械的经皮进入通路，不具有血管内定位或建立血管内通路作用。,一次性使用亲水涂层导丝,国械注准20173033094,2022.2.24,瑛泰,
,,,,,,一次性使用造影导丝,NIMY™ Guide Wire,用于血管造影，目的是建立了一个从穿刺部位到病变部位或通过病变部位到达远端的通道，辅助其他器械进行定位操作。,一次性使用造影导丝,国械注准20163032107,2021.5.17,瑛泰,
,,,,,38.0,依维莫司冠脉乳突球囊扩张导管,Everolimus Coronary  Mastoid Balloon,"适用于冠状动脉支架内再狭窄病变。
适用于血管直径≥2.0mm且≤2.75mm的冠状动脉原发小血管病变治疗。",/,/,/,瑛泰,
,,,,,39.0,指引延长导管,Prolong™ Guide Extension Catheter,与导引导管结合使用，可进入冠状脉管系统和/或外周脉管系统的病变区域，并可辅助放置介入器械。,指引延长导管,国械注准20233030388,2023.3.23,瑛泰,
,,,,,40.0,棘突球囊,Coronary Dilatation Catheter,该类产品在临床上通常定位于血管病变的预处理，具体适用的情况包括：1.支架内再狭窄病变；2.开口病变；3.分叉病变； 4.轻中度钙化病变或重度钙化病变经过旋磨等预处理后；5. 纤维性病变等常规球囊处理效果不佳的，经腔内影像确认后，使用常规球囊扩张试过仍然效果不佳的。,冠状动脉棘突球囊扩张导管,国械注准20243032641,2024.12.26,瑛泰,
,,德诺电生理产品,,,41.0,左心耳封堵器系统,SeaLA® LAA Closure System,适用于有卒中风险（CHA2DS2-VASc评分≥2分）且长期口服抗凝治疗禁忌的非瓣膜性房颤患者。,左心耳封堵器系统,国械注准20223131498,2022.11.9,德诺电生理,
,,,,,42.0,一次性使用心脏脉冲电场消融导管,Disposable Cardiac PFA Catheter,该产品与本公司生产的心脏脉冲电场消融仪（型号：CP-GR，软件发布版本1）、可调弯导管鞘配合使用，用于18岁或以上患者药物难治性、复发性、症状性、阵发性房颤的治疗。与心脏多道电生理记录仪配合使用，用于18岁或以上患者的心脏电生理标测（刺激和记录）。,一次性使用心脏脉冲电场消融导管,国械注准20243010461,2024.3.8,德诺电生理,
,,,,,43.0,可调弯导管鞘,Steerable Sheath System,与扩张器配合使用，用于将导丝、导管等医疗器械插入血管。产品不进入冠状动脉与神经血管。,可调弯导管鞘,浙械注准20232031690,2023.10.10,德诺电生理,
,,,,,44.0,血管鞘,Introducer Sheath,用于建立有助于血管内介入器械的经皮进入通道。,血管鞘,浙械注准20232031819,2024.2.5,德诺电生理,
,,翰凌医疗产品,,,45.0,心脏瓣膜球囊扩张导管,Cardiac Valves Balloon Dilatation Catheter,心脏瓣膜球囊扩张导管适用于经导管主动脉瓣置换术中的主动脉瓣的预扩张和后扩张。,心脏瓣膜球囊扩张导管,国械注准20223031192,2022.9.9,翰凌,
,,,,,46.0,可扩张血管鞘套装,Expandble sheath introducer set,可扩张血管鞘套装用于建立血管介入手术通路。,/,/,/,翰凌,
,,,,,47.0,心脏瓣膜支架Hanchor Valve,Cardiac Valve Stent Hanchor Valve,经导管主动脉瓣膜系统用于经导管主动脉瓣置入术（TAVR）中，用以治疗主动脉瓣膜病变，产品适用范围为不适合进行外科手术的主动脉瓣关闭不全患者。,/,/,/,翰凌,
,,,,,,牛心包干式保存瓣膜,Bovne Parcardim Heart Walve ( Dry Storage),牛心包干式保存瓣膜用于心脏瓣膜置换术中植入到人体，代替自体瓣膜工作，恢复病变自体瓣膜处的血流，醛基的减少使瓣膜抗钙化效果及免疫原性更好，改善患者治疗效果，延长了瓣膜使用寿命。,/,/,/,翰凌,
,,,,,48.0,新型聚合物瓣膜,Novel Poiymeric Heart Valve,新型聚合物瓣膜用于心脏瓣膜置换术中植入到人体，代替自体瓣膜工作，恢复病变自体瓣膜处的血流，聚合物瓣膜具有出色的抗钙化性能，瓣膜使用寿命更长，同时可大幅降低生产成本。,/,/,/,翰凌,
,,,,,49.0,经导管主动脉瓣膜输送系统,Transcatheter Aortic Valve Delivery System,,,,,,
,,心内植入,,,50.0,可降解镁合金支架,Bio-degradable Magnesium Alloy Stent,该产品用于经皮冠状动脉介入术治疗原发冠状动脉粥样硬化患者的血管内狭窄，改善患者的冠状动脉血流并预防再狭窄的发生。,/,/,/,瑛泰,
,,,,,51.0,自主冶炼镁合金管材,Magnesium Alloy Tube,自主冶炼无稀土高强度镁合金棒材，抗拉强度可达350MPa，拉伸屈服强度达300MPa，断裂延伸率在20%左右。,/,/,/,瑛泰,材料
,,,,,52.0,自主冶炼镁合金管棒材,Magnesium Alloy Rod,自主冶炼无稀土高强度镁合金棒材，抗拉强度可达350MPa，拉伸屈服强度达300MPa，断裂延伸率在20%左右。,/,/,/,瑛泰,材料
,,,,,53.0,人工血管,Artificial blood vessel,人工血管用于主动脉及其分支血管的置换或旁路手术。,/,/,/,瑛泰,
,外周介植入,"唯强
外周大血管",,/,54.0,胸主动脉覆膜支架系统,Fabulous Thoracic Aortic Stent System,胸主动脉支架系统适用于治疗Stanford B型夹层，支架近端锚定区长度≥15mm，且病变符合以下条件之一：1. 存在远端破口，有处理远端病变的必要性；2. 夹层累及范围较广，且存在远端真腔塌陷；3. 夹层合并远端分支血管动态梗阻型灌注不良。,胸主动脉支架系统,国械注准20223130685,2022.5.23,唯强,
,,,,,55.0,Grency髂静脉支架系统,Iliac Vein Stent System,该产品预期在髂总静脉内使用，用于治疗非血栓性髂静脉压迫综合征。,髂静脉支架系统,国械注准20243131244,2024.7.11,唯强,
,,,,,56.0,分体式分支型胸主动脉覆膜支架系统,WeFlow-Tbranch,该产品适用治疗近左锁骨下动脉的需要重建左锁骨下动脉血运的Stanford B型夹层患者。其近端锚定区长度应≥15mm；左锁骨下动脉距离左颈总动脉≥5mm。,分体式分支型胸主动脉覆膜支架系统,国械注准20243130650,2024.3.29,唯强,
,,,,,57.0,胸主动脉裸支架,Thoracic Aortic Stent,胸主动脉支架系统适用于治疗Stanford B型夹层，支架近端锚定区长度≥15mm，且病变符合以下条件之一：1. 存在远端破口，有处理远端病变的必要性；2. 夹层累及范围较广，且存在远端真腔塌陷；3. 夹层合并远端分支血管动态梗阻型灌注不良。,胸主动脉支架系统,国械注准20223130685,2022.5.23,唯强,
,,,,,58.0,模块内嵌双分支覆膜支架系统,Modular Double-Branched Aortic Stent Graft System,该产品预期用于主动脉弓部病变的治疗，包括累及升主动脉的真性主动脉弓动脉瘤、假性主动脉弓动脉瘤及累及主动脉弓部的溃疡，是全球首款设计针对弓上双分支重建的产品，通过升主动脉、分支和弓段三个模块组合，实现腔内重建头臂干和左颈总动脉，且整个手术过程中脑血流不受影响。,/,/,/,唯强,
,,,,,59.0,WeFlow-Tribranch三分支全腔内修复系统,Modular Trible-Branched Aortic Stent Graft System,国际首创的三分支内嵌式主动脉弓覆膜支架系统，可同时重建头臂干、左颈总动脉和左锁骨下动脉三个分支血管。,/,/,/,唯强,
,,,,,60.0,WeFlow-JAAA复杂腹主动脉覆膜支架系统,Stent Graft System for Juxtarenal AAA,"该产品预期用于复杂腹主动脉病变的治疗，国际首创的非定制""开窗-分支""支架系统，集成标准肾动脉内分支、SMA短内嵌分支和腹腔干U形开槽结构设计，显著提升近肾腹主动脉瘤的治疗效率。",/,/,/,唯强,
,,,,,61.0,ZIPPER主动脉弓腹膜支架系统,ZIPPER AORTIC ARCH STENT GRAFT,ZIPPER一体式主动脉弓覆膜支架系统适用于多种主动脉弓部血管病变及复杂解剖结构患者，尤其在需要覆盖并重建弓上全部分支血管的情况下，ZIPPER可提供安全且操作简便的治疗方案。,/,/,/,唯强,
,,外周血管产品,,,62.0,长鞘,Guiding introducer Sheath,该产品用于介入手术中，将导丝、导管等医疗器械插入血管。,一次性使用血管鞘,国械注准20213030647,2021.8.18,瑛泰,
,,,,,63.0,按压式球囊扩张压力泵40ml/40atm,FastFlator Inflation Device,该产品适用于在介入手术中向球囊扩张导管加压、泄压，使球囊扩张和回缩，监测并控制球囊的压力。规格型号为：40ml/40atm,按压式球囊扩充压力泵,沪械注准20232030005,2023.1.13,瑛泰,外周专用型号规格
,,,,,64.0,微导管（外周）,RAD CROSS® Micro Catheter,"用于注射或输入对照介质和/或液体(如造影剂)和/或栓塞材料，和/或适当的器械(如支架、弹簧圈),神经血管应用除外。",一次性使用微导管,国械注准20193030352,2024.5.31,瑛泰,
,,,,,65.0,超滑导丝,Hydrophilic Guide wire,用于引导导管插入血管并辅助其他器械进行定位操作，神经血管应用除外；长度为45cm的导丝用于Seldinger术，用于建立有助于血管内器械的经皮进入通路，不具有血管内定位或建立血管内通路作用。,一次性使用亲水涂层导丝,国械注准20173033094,2022.2.24,瑛泰,
,,,,,66.0,血栓抽吸导管,Neural Aspiration Catheter,用于清除血管系统的新鲜、柔软栓子和血栓块，神经血管应用除外。,一次性使用血栓抽吸系统,国械注准20223030596,2022.5.9,瑛泰,
,,,,/,67.0,负压抽吸泵,Aspiration Pump,用于医疗机构利用负压吸出人体中的液体和/或固体。不适用于流产和胸腔负压吸引。,医用电动吸引器,沪械注准20232140055,2023.3.19,堃博,
,,"堃博
呼吸介入产品",,,68.0,雾泉®一次性使用内窥镜雾化微导管,"Mist Fountain
Disposable nebulizing micro-catheter for endoscope",与内窥镜配合，用于灌洗、喷洒药液或配合造影剂使用，不用于血液循环系统和中枢神经系统给物。,一次性使用内窥镜雾化微导管,浙械注准20222021162,2024.7.9,堃博,
,,,,,69.0,智衡®肺部射频消融导管,BroncAblate® Disposable Pulmonaryrasiofrequency Ablation Catheter,产品与本公司生产的肺部射频消融系统（型号：BRS-PA-50W）配合，经软性支气管内窥镜（器械通道尺寸≥2.0mm）将射频能量作用于肺部肿瘤进行消融，适用于不能耐受手术切除且不能进行SBRT（立体定向体部放疗）的IA期原发性非小细胞肺癌患者。仅限用于单侧肺部肿瘤病灶数量≤3个，肿瘤病灶大小≤3cm，肿瘤与气管、主支气管、食管、主动脉弓支、主肺动脉、左和右肺动脉及心脏最近距离不小于2cm，经皮消融产品无法到达的肺部肿瘤。,一次性使用肺部射频消融导管,国械注准20253010767,2025.4.17,堃博,
,,,,,70.0,TLD肺部靶向去神经消融导管,TLD Targeted Lung Denervation Ablation Catheter,产品与本公司生产的肺部射频消融系统（型号：BRS-PA-50W）配合，经软性支气管内窥镜（器械通道尺寸≥2.0mm）将射频能量作用于肺部肿瘤进行消融，适用于不能耐受手术切除且不能进行SBRT（立体定向体部放疗）的IA期原发性非小细胞肺癌患者。仅限用于单侧肺部肿瘤病灶数量≤3个，肿瘤病灶大小≤3cm，肿瘤与气管、主支气管、食管、主动脉弓支、主肺动脉、左和右肺动脉及心脏最近距离不小于2cm，经皮消融产品无法到达的肺部肿瘤。,一次性使用肺部射频消融导管,国械注准20253010767,2025.4.17,堃博,
,,,,,71.0,InterVapor®一次性使用经支气管内窥镜热蒸汽治疗导管,InterVapor® Disposable Transbronchoscopic Thermal Vapor Ablation Catheter,产品在医疗机构使用，与本公司生产的热蒸汽治疗设备（UM-GEN-100)及Uptake Medical公司生产的治疗规划程序包（UM-IP3-100)配合使用，用于Gold评级3-4级、经充分药物及康复治疗不佳的非均质性（双上肺）肺气肿患者的治疗。使用时需配合最小工作通道直径为2.8mm的支气管内窥镜。,一次性使用经支气管内窥镜热蒸汽治疗导管,国械注准20233091032,2023.7.27,堃博,
,,,,,72.0,途扩™一次性使用经支气管镜穿刺扩张导管,BroncTru™ Disposable Transbronchial Puncturedilation Catheter,产品与支气管镜配合使用，进行穿刺、扩张和建立操作通道，导引其他内镜工具到达肺内目标病灶。,一次性使用经支气管镜扩张导管,浙械注准20232021787,2024.7.19,堃博,
,,,,,73.0,BioStar®一次性内窥镜吸引活检针,BioStar® Ebus Aapiration Needle,"一次性内窥镜吸引活检针由手柄、针管、鞘管、导丝、负压装置和连接装置（i系列型号不含单独的连接装置）组成,负压装置包含负压器、负压器配件和鲁尔二通阀。",一次性内窥镜吸引活检针,浙械注准20202020594,2024.12.30,堃博,
,,,,,74.0,一次性内窥镜吸引活检针,ATV®FleXNeedleCN,产品用于获取支气管树的隆突、气管旁以及肺门病变粘膜下层活检样本。,一次性内窥镜吸引活检针,浙械注准20192020448,2024.2.5,堃博,
,,其它产品,,,75.0,可降解鼻窦药物支架,Biodegradable Drug Eluting Sinus Stent,用于慢性鼻窦炎实施功能性内窥镜鼻窦手术（FESS）患者，主要用于防止FESS术后粘连，保持鼻腔通畅，减少炎症。,可降解鼻窦药物支架系统,国械注准20233130121,2023.2.2,七木,
,,,,,76.0,鼻腔冲洗液,Nasal Cleaner,用于急慢性鼻炎、过敏性鼻炎、鼻息肉、鼻窦炎鼻腔疾病患者的鼻腔清洗，也用于鼻炎手术后及化疗后的鼻腔清洗。,鼻腔冲洗液,沪械注准20252140138,2025.4.2,七木,
,,,,,77.0,抗鼻腔过敏凝胶,Anti Nasal Allerrgy Gel Dressing,用于过敏性鼻炎患者、过敏性哮喘患者，通过阻隔致病性微生物及其他颗粒性过敏物质进入鼻腔，缓解因过敏性鼻炎、过敏性哮喘引发的相关症状。,抗鼻腔过敏凝胶,沪械注准20252140248,2025.6.7,七木,
,,,,,78.0,咽鼓管球囊扩张导管,Eustachian Tube Balloon Dilation Catheter,适用于狭窄的咽鼓管的扩张，以辅助治疗阻塞性咽鼓管功能障碍。,咽鼓管球囊扩张导管,沪械注准20232140286,2023.10.23,七木,
,,,,,79.0,筋膜缝合器,Fascial Closure System,用于在腹腔镜手术中收拢组织、经皮缝合、以便闭合手术切口。,微创筋膜闭合器,沪械注准20222020040,2022.3.21,瑛泰,
,,,,,80.0,可吸收耳鼻止血海绵,Absorbable Hemostatic Sponge,本产品主要用于鼻腔、中耳与外耳术后的暂时压迫止血与支撑。选用几种天然的植物多糖作为原材料，生物安全性高且降解产物无毒性。几种材料相互促进、紧密耦合，最终实现了“1+1 > 2”的高效协同止血效果。,/,/,/,七木,
,神经介植入,神经介植入,,/,81.0,输送导管,Delivery Catheter,适用于介入性器械的导入，协助介入性器械进入外周、冠状和颅内血管系统。,输送导管,国械注准20253030578,2025.3.14,璞慧,
,,,,,82.0,可调弯导管, Steerable Catheter,可用于心脏血管、颅内血管及外周血管，经皮穿刺进入血管系统，在介入诊断或治疗手术中为导丝输送建立通道。,/,/,/,瑛泰,
,,,,,83.0,可调弯造影导管, Steerable Angiography Catheter,可用于心脏血管、颅内血管及外周血管，用于注射或输入对照介质和/或液体。,/,/,/,瑛泰,
,,,,,84.0,神经微导管,MicroCatheter（017）,"适用于神经血管和外周血管，用于注射或输入对照介质和/或液体和/或栓塞材料, 和/或适当的器械（如支架、弹簧圈）等。
该型号主要用以获得最佳的弹簧圈输送、栓塞、解脱。",一次性使用微导管,国械注准20203030984,2021.3.16,璞慧,
,,,,,85.0,带球囊指引导管,Guiding Cathter with Balloon,协助血管内导管插入并被引导至外周或神经血管系统的目标血管内。在进行血管造影和诊断治疗时，该产品还可同时临时封堵血管。,球囊导引导管,国械注准20223030672,2022.5.18,璞慧,
,,,,,86.0,支撑导管(支持导管),Support Catheter,适用于神经血管和外周血管，用于术中经桡动脉或股动脉建立血管通路，辅助诊断或治疗器械进入血管。,一次性使用支撑导管,国械注准20213030233,2021.4.8,璞慧,
,,,,,87.0,颅内支架系统,Intraluminal Support Device,适用于配合弹簧圈栓塞术治疗血管瘤的微创手术或治疗血管狭窄。,/,/,/,璞慧,
,,,,,88.0,神经介入手术器械包(治疗),Neurovascular surgical instrument set,在介入手术中用于连结管路和设备，提供药液的输注通路或用于有创血压监测。,介入手术器械,国械注准20193031843,2024.5.8,瑛泰,
,,,,,89.0,神经介入手术器械包(造影),Neurovascular surgical instrument set,在介入手术中用于连结管路和设备，提供药液的输注通路或用于有创血压监测。,介入手术器械,国械注准20193031843,2024.5.8,瑛泰,
,,,,,90.0,微导丝CG,Cooperative guide wire,"适用于神经血管和外周血管，辅助诊断或治疗器械顺利到达病变部位。
优异导航性，接近1：1扭矩传导",微导丝,国械注准20243031492,2024.8.14,璞慧,
,,,,,91.0,微导丝TG,Tracking guide wire,"适用于神经血管和外周血管，辅助诊断或治疗器械顺利到达病变部位。
头端塑形及远端保持佳，实现迂曲/远端血管超选",微导丝,国械注准20243031492,2024.8.14,璞慧,
,,,,,92.0,栓塞保护器,Embolic Protection Device,在颈动脉及外周血管狭窄及堵塞治疗手术，捕获并去除栓塞物质（血栓/碎片），为患者提供血管远端栓塞的保护。,栓塞保护器,国械注准20243030031,2024.1.4,璞慧,
,,,,,93.0,一次性使用血管内微导丝,Microguide Wire,"适用于神经血管和外周血管，辅助诊断或治疗器械顺利到达病变部位。
安全无创尖端设计，强支撑，顺应抵达病变位置",一次性使用血管内微导丝,国械注准20203031016,2020.12.31,璞慧,
,,,,,94.0,颅内取栓支架,Intracranial thrombectomy,用于在症状发作8小时内移除缺血性脑卒中患者大血管（包括颈内动脉、大脑中动脉M1和M2段）中的血栓，从而恢复血流。,/,/,/,璞慧,
,,,,,95.0,可吸收流体明胶基质,Absorbable Haemostatic Matrix,本产品适用于在毛细血管、静脉和细小动脉等出血而依靠压迫、结扎或其他传统方法控制无效时或不可行时的手术辅助止血(眼科手术除外)。,/,/,/,七木,
,,,,,96.0,血栓抽吸导管,Neural Aspiration Catheter,适用于对颅内大血管阻塞（颈内动脉、大脑中动脉—M1段和M2段、基底动脉和椎动脉内）继发急性缺血性脑中风的患者进行血管再通,颅内血栓抽吸导管,国械注准20233030307,2023.3.13,璞慧,
,,,,,97.0,磷酰胆碱涂层密网支架,Flow diverter with PC coating,适用于该产品用于18岁及以上成人颈内动脉岩骨段以上血管及其分支和椎动脉血管内未破裂的大、巨大型以及中、小型宽颈（瘤颈宽≥4 mm或瘤体/瘤颈比< 2）囊性或梭形动脉瘤，载瘤动脉直径需≥2.25 mm且≤6.25 mm。,/,/,/,璞慧,
,外泌体&超声聚焦,外泌体,,,98.0,无创透皮系统,NFTD,告别传统针刺注射，引入前沿的无针操作技术。利用冲击波空化技术及毛细管的分散效应，通过微米级精密喷头，释放高速喷射流，无需针头穿刺将精华液雾化至直径小于5μm的微液滴，将活性成分逐层渗透，极大地降低穿刺破皮造成的感染风险，焕发肌肤新生。通过压力将物质（如透明质酸钠溶液，胶原蛋白溶液等）穿透皮肤外层输送到皮内，促进皮肤对物质的吸收。,/,/,/,瑛泰生物,
